Rk,NAME,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards,Player-additional
1,Jayson Tatum,24,BOS,SF,74,74,2732,727,1559,.466,240,686,.350,487,873,.558,.543,531,622,.854,78,571,649,342,78,51,213,160,2225,1,MVP-4CPOY-10ASNBA1,tatumja01
2,Joel Embiid,28,PHI,C,66,66,2284,728,1328,.548,66,200,.330,662,1128,.587,.573,661,771,.857,113,557,670,274,66,112,226,205,2183,1,MVP-1DPOY-9CPOY-5ASNBA1,embiijo01
3,Luka Dončić,23,DAL,PG,66,66,2391,719,1449,.496,185,541,.342,534,908,.588,.560,515,694,.742,54,515,569,529,90,33,236,166,2138,10,MVP-8CPOY-8ASNBA1,doncilu01
4,Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,704,1381,.510,58,168,.345,646,1213,.533,.531,669,739,.905,59,270,329,371,112,65,192,192,2135,0,MVP-5CPOY-7ASNBA1,gilgesh01
5,Giannis Antetokounmpo,28,MIL,PF,63,63,2024,707,1278,.553,47,171,.275,660,1107,.596,.572,498,772,.645,137,605,742,359,52,51,246,197,1959,6,MVP-3DPOY-6ASNBA1,antetgi01
6,Anthony Edwards,21,MIN,SG,79,79,2842,707,1541,.459,213,578,.369,494,963,.513,.528,319,422,.756,47,411,458,350,125,58,259,186,1946,0,AS,edwaran01
7,Julius Randle,28,NYK,PF,77,77,2737,658,1432,.459,218,636,.343,440,796,.553,.536,402,531,.757,141,626,767,316,49,21,216,233,1936,0,CPOY-14ASNBA3,randlju01
8,Donovan Mitchell,26,CLE,SG,68,68,2432,679,1402,.484,245,635,.386,434,767,.566,.572,319,368,.867,63,226,289,301,99,27,180,168,1922,0,MVP-6CPOY-6ASNBA2,mitchdo01
9,Trae Young,24,ATL,PG,73,73,2541,597,1390,.429,154,460,.335,443,930,.476,.485,566,639,.886,56,161,217,741,80,9,300,104,1914,0,0,youngtr01
10,Zach LaVine,27,CHI,SG,77,77,2768,673,1388,.485,204,544,.375,469,844,.556,.558,363,428,.848,42,303,345,327,69,18,194,159,1913,0,0,lavinza01
11,Damian Lillard,32,POR,PG,58,58,2107,556,1202,.463,244,658,.371,312,544,.574,.564,510,558,.914,44,233,277,425,50,18,191,109,1866,2,CPOY-10ASNBA3,lillada01
12,De'Aaron Fox,25,SAC,PG,73,73,2435,682,1331,.512,119,367,.324,563,964,.584,.557,343,440,.780,40,266,306,447,83,23,181,172,1826,0,MVP-11CPOY-1ASNBA3,foxde01
13,DeMar DeRozan,33,CHI,SF,74,74,2682,657,1303,.504,46,142,.324,611,1161,.526,.522,456,523,.872,34,309,343,377,83,36,153,186,1816,0,CPOY-3AS,derozde01
14,Jaylen Brown,26,BOS,SF,67,67,2405,679,1383,.491,163,487,.335,516,896,.576,.550,263,344,.765,78,381,459,232,75,26,197,172,1784,0,ASNBA2,brownja02
15,Pascal Siakam,28,TOR,PF,71,71,2652,630,1313,.480,93,287,.324,537,1026,.523,.515,367,474,.774,131,425,556,415,65,36,169,228,1720,2,AS,siakapa01
16,Lauri Markkanen,25,UTA,PF,66,66,2273,571,1145,.499,200,511,.391,371,634,.585,.586,349,399,.875,130,440,570,123,42,38,127,137,1691,0,MIP-1AS,markkla01
17,Nikola Jokić,27,DEN,C,69,69,2323,646,1022,.632,57,149,.383,589,873,.675,.660,341,415,.822,167,650,817,678,87,47,247,174,1690,29,MVP-2CPOY-13ASNBA2,jokicni01
18,Jalen Green,20,HOU,SG,76,76,2602,566,1359,.416,187,554,.338,379,805,.471,.485,364,463,.786,43,241,284,281,59,18,200,131,1683,0,0,greenja05
19,Jordan Poole,23,GSW,PG,82,43,2458,550,1278,.430,214,637,.336,336,641,.524,.514,361,415,.870,32,193,225,369,63,21,252,214,1675,0,0,poolejo01
20,Mikal Bridges,26,2TM,SG,83,83,2963,593,1267,.468,169,442,.382,424,825,.514,.535,316,353,.895,79,285,364,273,91,61,127,159,1671,0,0,bridgmi01
21,Stephen Curry,34,GSW,PG,56,56,1941,559,1133,.493,273,639,.427,286,494,.579,.614,257,281,.915,39,302,341,352,52,20,179,117,1648,1,MVP-9CPOY-9ASNBA2,curryst01
22,Jalen Brunson,26,NYK,PG,68,68,2379,587,1195,.491,134,322,.416,453,873,.519,.547,325,392,.829,40,201,241,421,61,15,142,152,1633,0,MVP-12CPOY-4,brunsja01
23,Kyrie Irving,30,2TM,SG,60,60,2241,594,1203,.494,188,496,.379,406,707,.574,.572,247,273,.905,59,245,304,331,66,45,128,165,1623,0,CPOY-12AS,irvinky01
24,Ja Morant,23,MEM,PG,61,59,1948,566,1214,.466,92,300,.307,474,914,.519,.504,372,497,.748,61,296,357,493,66,16,206,100,1596,7,MVP-12AS,moranja01
25,LeBron James,38,LAL,PF,55,54,1954,609,1219,.500,121,377,.321,488,842,.580,.549,251,327,.768,65,392,457,375,50,32,178,88,1590,2,ASNBA3,jamesle01
26,CJ McCollum,31,NOP,PG,75,75,2649,587,1344,.437,211,543,.389,376,801,.469,.515,183,238,.769,55,273,328,429,70,38,183,153,1568,0,0,mccolcj01
27,Bam Adebayo,25,MIA,C,75,75,2598,602,1114,.540,1,12,.083,601,1102,.545,.541,324,402,.806,184,504,688,240,88,61,187,208,1529,0,DPOY-5ASDEF2,adebaba01
28,Dejounte Murray,26,ATL,SG,74,74,2693,612,1319,.464,133,387,.344,479,932,.514,.514,158,190,.832,53,336,389,448,112,19,160,106,1515,1,0,murrade01
29,Domantas Sabonis,26,SAC,C,79,79,2736,577,938,.615,31,83,.373,546,855,.639,.632,325,438,.742,251,722,973,573,65,39,230,279,1510,14,MVP-7ASNBA3,sabondo01
30,Klay Thompson,32,GSW,SF,69,69,2279,546,1252,.436,301,731,.412,245,521,.470,.556,116,132,.879,39,247,286,163,49,29,123,130,1509,0,0,thompkl01
31,Kristaps Porziņģis,27,WAS,C,65,65,2120,507,1018,.498,137,356,.385,370,662,.559,.565,354,416,.851,114,432,546,174,58,100,137,196,1505,0,0,porzikr01
32,Darius Garland,23,CLE,PG,69,69,2447,522,1129,.462,169,412,.410,353,717,.492,.537,277,321,.863,28,157,185,538,85,9,199,148,1490,0,0,garlada01
33,Franz Wagner,21,ORL,SF,80,80,2609,542,1118,.485,130,360,.361,412,758,.544,.543,271,322,.842,70,259,329,283,77,17,167,183,1485,0,0,wagnefr01
34,Devin Booker,26,PHO,SG,53,53,1835,527,1067,.494,111,316,.351,416,751,.554,.546,306,358,.855,46,194,240,293,51,18,145,159,1471,0,0,bookede01
35,Jimmy Butler,33,MIA,PF,64,64,2138,479,888,.539,36,103,.350,443,785,.564,.560,472,555,.850,141,234,375,340,117,21,101,80,1466,0,MVP-10DPOY-12CPOY-2NBA2,butleji01
